"id";"customer_id";"order_date";"price";"cogs";"payment_method";"sku_name";"category";"qty_ordered";"before_discount";"discount_amount";"after_discount";"is_gross";"is_valid";"is_net";"brand"
"ODR9182600096d";"C416934L";"2021-08-26";202710.0;166170.0;"cod";"Paramount_9781444175349";"School & Education";1;202710.0;0.0;202710.0;1;1;1;"others"
"ODR9182698951d";"C944883L";"2021-02-07";98542.0;68962.0;"cod";"KI_bedsheet-2050mkmmbs";"Home & Living";1;98542.0;0.0;98542.0;1;1;1;"others"
"ODR9186281280h";"C264730L";"2021-07-10";2505310.0;2083012.0;"Payaxis";"lenovo_80J2021CUE";"Computing";1;2505310.0;0.0;2505310.0;1;0;0;"lenovo"
"ODR9186589402h";"C193600L";"2022-04-08";180264.0;154976.0;"jazzvoucher";"sehgalmotors_5192";"Superstore";1;180264.0;0.0;180264.0;1;0;0;"others"
"ODR9189075963a";"C333743L";"2022-06-05";39904.0;24708.0;"cod";"emart_00-7";"Home & Living";3;119712.0;0.0;119712.0;1;1;0;"others"
"ODR9189442273y";"C374672L";"2021-09-26";435000.0;291450.0;"cod";"Fidato Ankle High Boot 309-872-45";"Men Fashion";1;435000.0;0.0;435000.0;1;1;0;"others"
"ODR9190651304u";"C607220L";"2022-08-13";130500.0;112230.0;"Payaxis";"Charizma_DG35";"Others";1;130500.0;45675.0;84825.0;1;1;1;"others"
"ODR9190972394n";"C945996L";"2021-07-30";3943942.0;2602982.0;"mygateway";"Huawei_P9 PLUS";"Mobiles & Tablets";5;19719710.0;0.0;19719710.0;1;0;0;"huawei"
"ODR9191812049k";"C359917L";"2021-08-26";105850.0;87812.0;"cod";"kansai_Undercoating Aerosol";"Others";2;211700.0;0.0;211700.0;1;1;1;"others"
"ODR9193288215b";"C586717L";"2021-12-19";1885000.0;1262950.0;"cod";"Turk & Fillmore_Super Natural I-brown-44";"Men Fashion";1;1885000.0;0.0;1885000.0;1;1;0;"others"
"ODR9193517413u";"C872920L";"2021-09-26";3334942.0;2634592.0;"cod";"samsung_40J5100";"Entertainment";1;3334942.0;0.0;3334942.0;1;0;0;"samsung"
"ODR9197788022x";"C763103L";"2022-05-19";400200.0;227070.0;"cod";"nabila_Nvite-fair-skin";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;1;"others"
"ODR9197802701d";"C143684L";"2021-04-07";397300.0;242324.0;"cod";"AKL_A131130455_SS-145_Black";"Women Fashion";1;397300.0;0.0;397300.0;1;1;0;"others"
"ODR9198177731c";"C572270L";"2022-02-28";13050.0;8584.0;"cod";"BP_PS26930";"School & Education";2;26100.0;0.0;26100.0;1;1;1;"others"
"ODR9199951929f";"C932944L";"2021-11-23";4349942.0;3914942.0;"cod";"Apple iPad Mini 3 Wifi 128GB-Space Grey";"Computing";1;4349942.0;0.0;4349942.0;1;1;0;"apple"
"ODR9200108121k";"C500989L";"2022-07-31";666420.0;559758.0;"Easypay";"Motifz_MWU01697-999-BUFF";"Women Fashion";2;1332840.0;0.0;1332840.0;1;0;0;"others"
"ODR9200907433b";"C267397L";"2021-10-17";356700.0;281764.0;"Payaxis";"crocs_200375-ocean-C10";"Kids & Baby";2;713400.0;0.0;713400.0;1;0;0;"others"
"ODR9204926512g";"C675024L";"2022-04-13";1154142.0;888676.0;"Easypay";"AYS_32-32u561";"Entertainment";4;4616568.0;0.0;4616568.0;1;0;0;"others"
"ODR9206485859x";"C576952L";"2021-12-28";66990.0;45762.0;"Payaxis";"cr_AJWA DATES (400 GM)";"Soghaat";2;133980.0;0.0;133980.0;1;1;1;"others"
"ODR9206801709i";"C774835L";"2022-06-22";309720.0;275616.0;"cod";"Relaxsit_RS-74";"Home & Living";2;619440.0;0.0;619440.0;1;1;1;"others"
"ODR9207505918t";"C558736L";"2022-02-17";290000.0;217500.0;"cod";"ISN_Concentrated-Chocolate";"Health & Sports";1;290000.0;0.0;290000.0;1;1;0;"others"
"ODR9210145145j";"C163269L";"2022-10-07";128296.0;109040.0;"cod";"JBS_TAT-019";"Home & Living";1;128296.0;0.0;128296.0;1;0;0;"others"
"ODR9210560966y";"C386951L";"2022-02-19";115942.0;74182.0;"cod";"emart_Tyre Shape Air Compressor";"Others";2;231884.0;0.0;231884.0;1;1;1;"others"
"ODR9210940634d";"C187290L";"2022-07-05";58000.0;74182.0;"jazzvoucher";"emart_Tyre Shape Air Compressor";"Others";1;58000.0;0.0;58000.0;1;1;1;"others"
"ODR9211138878s";"C156505L";"2021-09-07";6960.0;4988.0;"cod";"ld_fruit-STRAWBERRY";"Others";1;6960.0;0.0;6960.0;1;1;1;"others"
"ODR9211185916v";"C464900L";"2022-05-25";290000.0;174000.0;"cod";"ISN_Concentrated-Chocolate-2lbs";"Health & Sports";1;290000.0;0.0;290000.0;1;1;0;"others"
"ODR9213081186j";"C935534L";"2022-06-22";5434600.0;4238988.0;"Easypay";"cc_Samsung_Galaxy_S8_Plus_Gray";"Mobiles & Tablets";1;5434600.0;0.0;5434600.0;1;0;0;"samsung"
"ODR9213837208g";"C870086L";"2022-01-23";57942.0;41702.0;"cod";"Tmaster_C D Rom";"Books";1;57942.0;0.0;57942.0;1;1;1;"others"
"ODR9218934419d";"C207844L";"2021-12-15";400200.0;288144.0;"cod";"nabila_NGELIC FOR IVORY";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;1;"others"
"ODR9221849688g";"C765928L";"2022-04-25";81142.0;64090.0;"cod";"stinnos_A143";"Kids & Baby";1;81142.0;0.0;81142.0;1;1;0;"others"
